feeding_date_STD,formula,ingredient_name,dry_call_weight,dry_actual_weight,dry_call_weight_sum,dry_actual_weight_sum,Crude_Protein_%DM,aNDFom_%DM,Starch_%DM,error_CP_per_ingredient_%,error_aNDFom_per_ingredient_%,error_Starch_per_ingredient_%,total_CP_error_%,total_aNDFom_error_%,total_Starch_error_%
2025-12-20,DRYCOW,Dry,48.0,58.0,6170.0,6304.0,,,,,,,-0.20642793426471953,2.5582548948590222,1.6957693802214835
2025-12-20,DRYCOW,NOB,1196.0,1192.0,6170.0,6304.0,,,,,,,-0.20642793426471953,2.5582548948590222,1.6957693802214835
2025-12-20,DRYCOW,Non,3114.0,3140.0,6170.0,6304.0,,,,,,,-0.20642793426471953,2.5582548948590222,1.6957693802214835
2025-12-20,DRYCOW,PRO,150.0,214.0,6170.0,6304.0,,,,,,,-0.20642793426471953,2.5582548948590222,1.6957693802214835
2025-12-20,DRYCOW,SBM,196.0,198.0,6170.0,6304.0,53.17,10.92,2.17,1.0204081632653075,1.0204081632652848,1.0204081632653086,-0.20642793426471953,2.5582548948590222,1.6957693802214835
2025-12-20,DRYCOW,SOY,538.0,564.0,6170.0,6304.0,12.71,64.45,1.02,4.832713754646852,4.832713754646859,4.832713754646843,-0.20642793426471953,2.5582548948590222,1.6957693802214835
2025-12-20,DRYCOW,TCL,928.0,938.0,6170.0,6304.0,12.0,55.0,2.5,1.0775862068965543,1.0775862068965518,1.0775862068965518,-0.20642793426471953,2.5582548948590222,1.6957693802214835
2025-12-21,DRYCOW,Dry,46.0,38.0,6094.0,6206.0,,,,,,,2.753746006173236,0.7047395631131633,1.6585543789255321
2025-12-21,DRYCOW,NOB,1114.0,1142.0,6094.0,6206.0,,,,,,,2.753746006173236,0.7047395631131633,1.6585543789255321
2025-12-21,DRYCOW,Non,3050.0,3116.0,6094.0,6206.0,,,,,,,2.753746006173236,0.7047395631131633,1.6585543789255321
2025-12-21,DRYCOW,PRO,146.0,142.0,6094.0,6206.0,,,,,,,2.753746006173236,0.7047395631131633,1.6585543789255321
2025-12-21,DRYCOW,SBM,192.0,216.0,6094.0,6206.0,53.17,10.92,2.17,12.500000000000016,12.499999999999996,12.50000000000001,2.753746006173236,0.7047395631131633,1.6585543789255321
2025-12-21,DRYCOW,SOY,522.0,528.0,6094.0,6206.0,12.71,64.45,1.02,1.1494252873563096,1.1494252873563104,1.149425287356312,2.753746006173236,0.7047395631131633,1.6585543789255321
2025-12-21,DRYCOW,TCL,1024.0,1024.0,6094.0,6206.0,12.0,55.0,2.5,0.0,0.0,0.0,2.753746006173236,0.7047395631131633,1.6585543789255321
2025-12-22,DRYCOW,Dry,22.0,29.0,2879.0,2912.0,,,,,,,-3.892480205309643,0.7397104584179278,0.20653194922807494
2025-12-22,DRYCOW,NOB,527.0,530.0,2879.0,2912.0,,,,,,,-3.892480205309643,0.7397104584179278,0.20653194922807494
2025-12-22,DRYCOW,Non,1438.0,1460.0,2879.0,2912.0,,,,,,,-3.892480205309643,0.7397104584179278,0.20653194922807494
2025-12-22,DRYCOW,PRO,69.0,71.0,2879.0,2912.0,,,,,,,-3.892480205309643,0.7397104584179278,0.20653194922807494
2025-12-22,DRYCOW,SBM,90.0,81.0,2879.0,2912.0,53.17,10.92,2.17,-10.0,-9.999999999999993,-10.000000000000002,-3.892480205309643,0.7397104584179278,0.20653194922807494
2025-12-22,DRYCOW,SOY,248.0,246.0,2879.0,2912.0,12.71,64.45,1.02,-0.8064516129032284,-0.8064516129032355,-0.8064516129032248,-3.892480205309643,0.7397104584179278,0.20653194922807494
2025-12-22,DRYCOW,TCL,485.0,495.0,2879.0,2912.0,12.0,55.0,2.5,2.0618556701030855,2.0618556701030926,2.0618556701030926,-3.892480205309643,0.7397104584179278,0.20653194922807494
2025-12-23,DRYCOW,Dry,44.0,38.0,5784.0,5900.0,,,,,,,2.1582289469160356,0.7057674179689633,1.5157729768777404
2025-12-23,DRYCOW,NOB,1082.0,1116.0,5784.0,5900.0,,,,,,,2.1582289469160356,0.7057674179689633,1.5157729768777404
2025-12-23,DRYCOW,Non,2904.0,2942.0,5784.0,5900.0,,,,,,,2.1582289469160356,0.7057674179689633,1.5157729768777404
2025-12-23,DRYCOW,PRO,136.0,160.0,5784.0,5900.0,,,,,,,2.1582289469160356,0.7057674179689633,1.5157729768777404
2025-12-23,DRYCOW,SBM,178.0,198.0,5784.0,5900.0,53.17,10.92,2.17,11.235955056179774,11.235955056179762,11.235955056179767,2.1582289469160356,0.7057674179689633,1.5157729768777404
2025-12-23,DRYCOW,SOY,486.0,492.0,5784.0,5900.0,12.71,64.45,1.02,1.2345679012345778,1.2345679012345556,1.2345679012345752,2.1582289469160356,0.7057674179689633,1.5157729768777404
2025-12-23,DRYCOW,TCL,954.0,954.0,5784.0,5900.0,12.0,55.0,2.5,0.0,0.0,0.0,2.1582289469160356,0.7057674179689633,1.5157729768777404
2025-12-25,DRYCOW,Dry,44.0,38.0,5860.0,5832.0,,,,,,,-0.5422721237923073,-2.2426112872153774,-0.7105781605479594
2025-12-25,DRYCOW,NOB,1128.0,1122.0,5860.0,5832.0,,,,,,,-0.5422721237923073,-2.2426112872153774,-0.7105781605479594
2025-12-25,DRYCOW,Non,2928.0,2916.0,5860.0,5832.0,,,,,,,-0.5422721237923073,-2.2426112872153774,-0.7105781605479594
2025-12-25,DRYCOW,PRO,136.0,160.0,5860.0,5832.0,,,,,,,-0.5422721237923073,-2.2426112872153774,-0.7105781605479594
2025-12-25,DRYCOW,SBM,178.0,180.0,5860.0,5832.0,53.17,10.92,2.17,1.1235955056179792,1.1235955056179727,1.1235955056179687,-0.5422721237923073,-2.2426112872153774,-0.7105781605479594
2025-12-25,DRYCOW,SOY,488.0,456.0,5860.0,5832.0,12.71,64.45,1.02,-6.557377049180338,-6.557377049180335,-6.55737704918032,-0.5422721237923073,-2.2426112872153774,-0.7105781605479594
2025-12-25,DRYCOW,TCL,958.0,960.0,5860.0,5832.0,12.0,55.0,2.5,0.20876826722338995,0.20876826722338637,0.208768267223385,-0.5422721237923073,-2.2426112872153774,-0.7105781605479594
2025-12-26,DRYCOW,Dry,40.0,38.0,5248.0,5242.0,,,,,,,-1.2192642540928291,-1.4641906287972608,-0.8491290305501099
2025-12-26,DRYCOW,NOB,964.0,968.0,5248.0,5242.0,,,,,,,-1.2192642540928291,-1.4641906287972608,-0.8491290305501099
2025-12-26,DRYCOW,Non,2620.0,2634.0,5248.0,5242.0,,,,,,,-1.2192642540928291,-1.4641906287972608,-0.8491290305501099
2025-12-26,DRYCOW,PRO,126.0,124.0,5248.0,5242.0,,,,,,,-1.2192642540928291,-1.4641906287972608,-0.8491290305501099
2025-12-26,DRYCOW,SBM,164.0,162.0,5248.0,5242.0,53.17,10.92,2.17,-1.2195121951219527,-1.2195121951219459,-1.2195121951219543,-1.2192642540928291,-1.4641906287972608,-0.8491290305501099
2025-12-26,DRYCOW,SOY,452.0,436.0,5248.0,5242.0,12.71,64.45,1.02,-3.539823008849545,-3.5398230088495617,-3.539823008849553,-1.2192642540928291,-1.4641906287972608,-0.8491290305501099
2025-12-26,DRYCOW,TCL,882.0,880.0,5248.0,5242.0,12.0,55.0,2.5,-0.22675736961452106,-0.22675736961451717,-0.22675736961451567,-1.2192642540928291,-1.4641906287972608,-0.8491290305501099
2025-12-27,DRYCOW,Dry,40.0,38.0,5222.0,5256.0,,,,,,,2.3858068756196498,-0.4424330808283924,0.9068684357885342
2025-12-27,DRYCOW,NOB,990.0,1000.0,5222.0,5256.0,,,,,,,2.3858068756196498,-0.4424330808283924,0.9068684357885342
2025-12-27,DRYCOW,Non,2614.0,2630.0,5222.0,5256.0,,,,,,,2.3858068756196498,-0.4424330808283924,0.9068684357885342
